¡Toma! | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
La Hacienda | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 13.2 mi
La Herradura | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 15.5 mi
La Indita | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.8 mi
La Luz Restaurant | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 5.6 mi
La Mesa Tortillas | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 0.4 mi
La Michoacana Ice Cream Shop Az | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 3.4 mi
La Olla | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 14.4 mi
La Parilla Suiza | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.5 mi
La Parrilla Suiza | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3 mi
La Placita Café | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 5 mi
La Reyna Hot Dog | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 4.6 mi
La Yaquesita | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 2.5 mi
Le Buzz Caffe | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 9 mi
Le Macaron | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.7 mi
Legends Bar And Grill | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 7 mi
Lemongrass | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 2.5 mi
Leo's Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.3 mi
Les Rendez-vous | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 3 mi
Level Bar & Lounge | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 3.7 mi
Lil' Abner's | Neighborhood: Northwest & Marana | Cuisine: Steakhouse & BBQ | Dist: 14.3 mi
Lin Nam | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 10.3 mi
Lin's Grand Buffet | Neighborhood: Southside & Heritage | Cuisine: Asian & Sushi | Dist: 3.8 mi
Lindy's | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2.5 mi
Lindy's on 4th | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 4.9 mi
Liquor Barrel Saloon | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 4.8 mi
Little Anthony's | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 4 mi
Little Caesars | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1.5 mi
Little Mexico Steakhouse | Neighborhood: Westside & Downtown | Cuisine: Steakhouse & BBQ | Dist: 9.3 mi
Locale Italian | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1 mi
LongHorn Steakhouse | Neighborhood: Central & Midtown | Cuisine: Steakhouse & BBQ | Dist: 3.3 mi
Lookout Bar | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 10 mi
Los Beto's Mexican Food | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 5.7 mi
Los Betos | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6.9 mi
Los Jarritos | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.4 mi
Los Milics Tasting Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.5 mi
Los Nopales | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 8.4 mi
Los Olivos | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 3.9 mi
Los Perches | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 4.5 mi
Lotus Garden | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 3.4 mi
Lovin' Spoonfuls | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 2.2 mi
Luckie's Thai | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 15 mi
Luckie's Thai Asian Cousine | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 12.5 mi
Lucky Panda | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 3.8 mi
Lucky Wishbone | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.1 mi
Luke's | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 9.7 mi
Luna y Sol | Neighborhood: Southside & Heritage | Cuisine: Coffee & Cafe | Dist: 6.5 mi
Lupe’s | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 22.1 mi
LUST | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Magpies Gourmet Pizza | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.5 mi
Maico Restaurant | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6 mi
Maicos | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.7 mi
Main Dining Room | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 1.1 mi
Main Event | Neighborhood: Westside & Downtown | Cuisine: American & Comfort | Dist: 6 mi
Mali Thai | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 10.2 mi
Mama Louisa's | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 6.8 mi
Mama’s Famous Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 7 mi
Mama's Famous Pizza & Heros | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1.6 mi
Mama's Hawiian BBQ | Neighborhood: Northwest & Marana | Cuisine: Steakhouse & BBQ | Dist: 11.1 mi
Mama's Kitchen | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 18 mi
Mandarin Buffet | Neighborhood: Southside & Heritage | Cuisine: Asian & Sushi | Dist: 5.2 mi
Mandarin Grill | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.6 mi
Mantis Asian Cuisine | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 12.9 mi
Mantis Chinese | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 7.8 mi
Marco's Pizza | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 3 mi
Mario McGee's Pizza | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 25.6 mi
Mariscos Chihuahua | Neighborhood: Southside & Heritage | Cuisine: Seafood | Dist: 6.5 mi
Mariscos Mi Mazatlán | Neighborhood: Central & Midtown | Cuisine: Seafood | Dist: 3.5 mi
Mariscos San Juan | Neighborhood: Southside & Heritage | Cuisine: Seafood | Dist: 6 mi
Marti's Bistro | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 18 mi
Martin's Comida Chingona | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.5 mi
Martins Comida | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 4.6 mi
Maru Plus Japanese Noodle, Onigiri & More | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2 mi
Maynard's Kitchen | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 2.6 mi
Maynard's Market | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 2.6 mi
Maynards | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 5.3 mi
McDonald's | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 0.8 mi
McGraw's Cantina Restaurant | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 9.8 mi
Med Cuisine | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 2.9 mi
Meet Rack Bar and Grill | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 3 mi
Mel's Drive-In | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 30.5 mi
Mi Nidito | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.4 mi
Mi Tierra | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 18.4 mi
Micha's Restaurant | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6.5 mi
Midtown Vegan Deli & Market | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 2.3 mi
Mike's Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4.4 mi
Miss Saigon | Neighborhood: Central & University | Cuisine: Asian & Sushi | Dist: 1.2 mi
MOD Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4.1 mi
Mojo Cuban Kitchen | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 1.6 mi
Momo's | Neighborhood: Central & University | Cuisine: American & Comfort | Dist: 1.3 mi
Mona's Danish Bakery | Neighborhood: Northside & Foothills | Cuisine: Dessert & Bakery | Dist: 5.9 mi
Monkey Burger | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 7.5 mi
Monsoon Chocolate | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 3.1 mi
Monsoon Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 3 mi
Monster Sonoran | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6 mi
Monterey Court | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 3.8 mi
Montgomery Bar and Grill | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 18 mi
Montgomery's | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 16 mi
Moonstone | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4 mi
Moqah Coffee & Beyond | Neighborhood: Westside & Downtown | Cuisine: Coffee & Cafe | Dist: 25.6 mi
Mosaic | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 5.5 mi
MotoSonora Brewing | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 6 mi
Mountain Mike's | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 4.7 mi
MountainView Bar and Grill | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 20.1 mi
Mr. An's Teppan Steak & Seafood | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 6.5 mi
Mt Lemmon Coffee and Tea | Neighborhood: Eastside & Vail | Cuisine: Boba Tea & Beverages | Dist: 17.4 mi
Mt. Lemmon Cookie Cabin | Neighborhood: Eastside & Vail | Cuisine: Dessert & Bakery | Dist: 17.2 mi
Music Box Lounge | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 5.1 mi
Nana's Kitchen | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 13.1 mi
Nandi's Sonoran HotDogs | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 26.2 mi
Nathan's Famous | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 4.9 mi
Native Grill | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 7.8 mi
Nattha's Bann Thai Asian | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 5.1 mi
Nautical Bowls | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 9.5 mi
néktər | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 1.3 mi
New Delhi Palace | Neighborhood: Eastside & Vail | Cuisine: Mediterranean & Global | Dist: 4.5 mi
New Town Buffet | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 7.8 mi
Newton Pho | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 7.8 mi
Nhu Lan Vietnamese | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 4.5 mi
Ni Hao Tea | Neighborhood: Central & Midtown | Cuisine: Boba Tea & Beverages | Dist: 1.2 mi
Ni's Asian Bistro & Sushi Bar | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 9.3 mi
Nick's Sari-Sari | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 4 mi
Nico's Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.2 mi
Nico's Taco Shop | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.2 mi
Nimbus Brewing Company | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 3.5 mi
No Anchovies | Neighborhood: Central & University | Cuisine: Italian & Pizza | Dist: 2 mi
Noble Hops | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 9.5 mi
Nonna Maria'a Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 27.7 mi
Noodies | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 4 mi
Noodleholics | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.5 mi
Nook | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5.4 mi
North Italia | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5.8 mi
Nrich Urban Market | Neighborhood: Central & University | Cuisine: Healthy, Vegan & Plant-Based | Dist: 1.6 mi
Nur Market & Restaurant | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 0.5 mi
NYPD New York Pizza Department | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4.2 mi
O'Malley's | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Oasis Nutrition | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 10 mi
Obon Sushi Bar Ramen | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 4.8 mi
Oh My Chicken | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 2.7 mi
Ojos Locos Sports Cantina | Neighborhood: Westside & Downtown | Cuisine: Bar, Pub & Brewery | Dist: 6 mi
Ol' Pot Hole | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 14.2 mi
Old Father Inn | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 10.4 mi
Old Peking | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.6 mi
Olé Mexican Grill | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 8.1 mi
Olive Garden | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.9 mi
Ombre Coffee | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 0.9 mi
On Deck | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 1.6 mi
On The Border | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.6 mi
One Stop Nutrition | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 7.9 mi
Opa's Best | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 1.5 mi
Opa's Grill | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 2.5 mi
Oracle Inn | Neighborhood: Eastside & Vail | Cuisine: Boba Tea & Beverages | Dist: 27.5 mi
Oracle Patio Cafe | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 27.6 mi
Orange Julius | Neighborhood: Northwest & Marana | Cuisine: Boba Tea & Beverages | Dist: 14.2 mi
Ore House Hilltop Tavern | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 27.7 mi
Oregano's Pizza Bistro | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 0.7 mi
Oriental Express | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 4.1 mi
Original ChopShop | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 2 mi
Outback Steakhouse | Neighborhood: Central & Midtown | Cuisine: Steakhouse & BBQ | Dist: 1.2 mi
OV Pizza & Pints | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 9.5 mi
Owl's Club | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.9 mi
Paleteria La Michoacana | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 0.4 mi
Panda Express | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1 mi
Panda House Stir Fry | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 9.9 mi
Panda One | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 4.2 mi
Panera Bread | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.2 mi
Papa John's | Neighborhood: Central & University | Cuisine: Italian & Pizza | Dist: 1.6 mi
Papa Locos | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 11.6 mi
Papa Murphy's | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.3 mi
Pappoule's | Neighborhood: Northwest & Marana | Cuisine: Mediterranean & Global | Dist: 9.1 mi
Pat's Chili Dogs | Neighborhood: Westside & Downtown | Cuisine: Fast Food & Sandwiches | Dist: 5 mi
Pauline's Cafe | Neighborhood: Southside & Heritage | Cuisine: Coffee & Cafe | Dist: 26.5 mi
Pei Wei | Neighborhood: Central & University | Cuisine: Asian & Sushi | Dist: 2 mi
Pelio Grill | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 4.1 mi
Penca | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5 mi
Penelope Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4.9 mi
Peppersauce Kitchen | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 25.2 mi
Perche' No | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 5.4 mi
Perche' No Italian Bistro | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 2.9 mi
Perfecto's Mexican | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.8 mi
Persian Room | Neighborhood: Northwest & Marana | Cuisine: Mediterranean & Global | Dist: 12.1 mi
Peter Piper Pizza | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 3.5 mi
Pho Ngan | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.3 mi
Phoebe’s Coffee Bar | Neighborhood: Westside & Downtown | Cuisine: Coffee & Cafe | Dist: 14.3 mi
Piazza Gavi | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5 mi
Piazza Gavi Italian Restaurant | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 6.8 mi
Pinnacle Peak | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 8 mi
Pinnacle Peak Steakhouse | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 4.2 mi
Pita Jungle - Tucson Oracle | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 7.6 mi
Pizza Hut | Neighborhood: Central & University | Cuisine: Italian & Pizza | Dist: 1.1 mi
Playground Bar & Lounge | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Playground Bar and Lounge | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.7 mi
Poco & Mom's | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 7 mi
Poco & Mom's Cantina | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 4.9 mi
Pony Express Pizza, Wing & More | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 12.2 mi
Popeyes | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.3 mi
Portillo's Hot Dogs | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.8 mi
Postino Grant | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 1.7 mi
Potbelly | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 3 mi
Pour My Coffee Co. | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 10.9 mi
Prep & Pastry | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.9 mi
Presta Coffee Roasters | Neighborhood: Westside & Downtown | Cuisine: Coffee & Cafe | Dist: 3.8 mi
Primo | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 7.4 mi
Prohibición | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Proof Artisanal | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 4.3 mi
Proper Shops Bar | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Pub 1922 | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 15 mi
Pub 22 | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 19.2 mi
Public House Brewery | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Pueblo Vida Brewing | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 5.2 mi
Pure Love Juice | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 4.3 mi
Pure Poke & Prep | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Putney's Pitstop | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 7.5 mi
Putter's Grill | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 7.5 mi
PY Steakhouse | Neighborhood: Southside & Heritage | Cuisine: Steakhouse & BBQ | Dist: 9 mi
Qdoba | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 4.5 mi
Queen Sheba | Neighborhood: Eastside & Vail | Cuisine: Mediterranean & Global | Dist: 5.5 mi
Quesos on 4th | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.5 mi
Quisty's Sandwiches | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 4.5 mi
Quiznos | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 0.5 mi
R Bar | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
R&R Pizza Express | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 23.1 mi
RA Sushi | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 5.8 mi
Radicchio | Neighborhood: Central & University | Cuisine: Italian & Pizza | Dist: 1.7 mi
Ragazzi | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 25.6 mi
Raging Sage | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.5 mi
Raijin Ramen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.5 mi
Raising Cane's (Bway) | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 4 mi
Raising Cane's Chicken Fingers | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 0.6 mi
Ramiro's | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 6.8 mi
Rancho Rustico | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 15.5 mi
Raptor Canyon Cafe | Neighborhood: Urban Core | Cuisine: Breakfast & Diner | Dist: 2.8 mi
Raspaderia El Sahuaro | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.4 mi
Raspados El Chikitin | Neighborhood: Central & Midtown | Cuisine: Boba Tea & Beverages | Dist: 1.1 mi
Red Captain Coffee Company | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 4.2 mi
Red Garter Saloon | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 3 mi
Red Lobster | Neighborhood: Eastside & Vail | Cuisine: Seafood | Dist: 2.8 mi
Red Robin | Neighborhood: Northside & Foothills | Cuisine: Fast Food & Sandwiches | Dist: 5.5 mi
Red's Smokehouse and Tap Room | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 2 mi
Redbird Sam Hughes | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 3 mi
Redbird Scratch Kitchen | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 1.3 mi
Reforma | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 4.3 mi
Reilly Craft Pizza | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 4.9 mi
Reilly Craft Pizza & Drink | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 2.8 mi
Ren Bakery | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 4.3 mi
Ren Coffeehouse | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 4.3 mi
Renee's Tucson | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 5.4 mi
REVEL | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.5 mi
Richie's Cafe | Neighborhood: Westside & Downtown | Cuisine: Coffee & Cafe | Dist: 16.2 mi
Rigoberto's | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 22.6 mi
Riley's Irish Travern | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 6.8 mi
Rincon John's Fresh Air Café | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 20.7 mi
Riot Grill | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 27.5 mi
RJ's Replays | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 3.2 mi
Roadrunner Coffee | Neighborhood: Northwest & Marana | Cuisine: Coffee & Cafe | Dist: 12.5 mi
Roadrunner Coffee Co | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.4 mi
Roadrunner Grill | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 20.8 mi
Roadrunner Market | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 17 mi
Roberts restaurant | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.2 mi
Rocco's Little Chicago | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1 mi
Rollies Mexican (MSA) | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5.5 mi
Romano's Macaroni Grill | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.5 mi
Rosa's Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.4 mi
